  0.0000000000E+00       5
  0.1500000000E+00       2      2      2      0
  0.3750000000E+00       2      2      2      2      0
  0.7125000000E+00       2      2      2      2      0
  0.1218750000E+01       2      2      2      2      0
  0.1978125000E+01       2      2      2      2      0
  0.3117187500E+01       2      2      2      2      2      0
  0.3876562500E+01       2      2      2      2      0
  0.4635937500E+01       2      2      2      2      0      0
  0.5142187500E+01       2      2      2      2      0
  0.5901562500E+01       2      2      2      2      0
  0.6407812500E+01       2      2      2      2      0
  0.6914062500E+01       2      2      2      2      0
  0.7420312500E+01       2      2      2      2      0
  0.7926562500E+01       2      2      2      2      0
  0.8685937500E+01       2      2      2      2      0
  0.9192187500E+01       2      2      2      2      0
  0.9698437500E+01       2      2      2      2      0
  0.1020468750E+02       2      2      2      2      0
  0.1071093750E+02       2      2      2      2      0
  0.1121718750E+02       2      2      2      2      0
  0.1172343750E+02       2      2      2      2      0
  0.1222968750E+02       2      2      2      2      0
  0.1273593750E+02       2      2      2      2      0
  0.1324218750E+02       2      2      2      2      0
  0.1374843750E+02       2      2      2      2      0
  0.1425468750E+02       2      2      2      2      0
  0.1476093750E+02       2      2      2      2      0
  0.1526718750E+02       2      2      2      2      0
  0.1577343750E+02       2      2      2      2      0
  0.1627968750E+02       2      2      2      2      0      0
  0.1678593750E+02       2      2      2      2      0
  0.1729218750E+02       2      2      2      2      0
  0.1779843750E+02       2      2      2      2      0
  0.1855781250E+02       2      3      3      3      0
  0.1906406250E+02       3      3      3      0      0
  0.1957031250E+02       3      3      3      2      0
  0.2007656250E+02       3      3      3      3      0
  0.2058281250E+02       3      2      2      2      0
  0.2108906250E+02       2      3      2      2      0
  0.2184843750E+02       2      2      2      2      0
  0.2260781250E+02       2      2      2      0      0
  0.2374687500E+02       2      3      3      0      0
  0.2488593750E+02       3      3      2      0
  0.2602500000E+02       3      2      2      0
  0.2773359375E+02       2      2      2      0
  0.2944218750E+02       2      2      2      0
  0.3115078125E+02       2      2      2
  0.3285937500E+02       2      3      0
  0.3456796875E+02       3      3      0
  0.3627656250E+02       3      5      0
  0.3798515625E+02       3      6      0
  0.3969375000E+02       4      6      0
  0.4140234375E+02       0      0
  0.4311093750E+02       0      0
  0.4481953125E+02       0      0
  0.4652812500E+02       0      0
  0.4823671875E+02       0      0
  0.4994531250E+02       0      0
  0.5165390625E+02       0      0
  0.5336250000E+02       0      0
  0.5507109375E+02       0      0
  0.5677968750E+02       0
