  0.0000000000E+00    0.3969803741E-12
  0.1500000000E+00    0.4018108056E-05   0.4755484852E-06   0.2866231733E-10   0.5569633955E-13
  0.3750000000E+00    0.4546247832E-05   0.7451281616E-06   0.1531313477E-09   0.4029328807E-14   0.1584834966E-16
  0.7125000000E+00    0.4541057429E-05   0.3813059367E-06   0.1016889033E-08   0.4997995586E-13   0.8372213738E-16
  0.1218750000E+01    0.1439544433E-05   0.5428992809E-06   0.4993904808E-08   0.2266129255E-11   0.2946826284E-14
  0.1978125000E+01    0.1320552922E-05   0.7741498146E-06   0.2097070960E-07   0.4540659355E-10   0.4235533343E-13
  0.3117187500E+01    0.1319305701E-05   0.1402513266E-05   0.4414892789E-07   0.4274265517E-09   0.2949623115E-13   0.6000028781E-16
  0.3876562500E+01    0.2487565466E-05   0.1124020621E-05   0.1749367994E-07   0.1752669154E-10   0.4112872160E-13
  0.4635937500E+01    0.3094865549E-05   0.5829367718E-06   0.1578589129E-07   0.1045742155E-10   0.3893936139E-13   0.2413668881E-15
  0.5142187500E+01    0.1528718157E-05   0.2504436162E-06   0.3644652862E-08   0.7254308596E-12   0.9303127822E-15
  0.5901562500E+01    0.3461210457E-05   0.3878173934E-06   0.4300933204E-07   0.3777591272E-10   0.4119508467E-13
  0.6407812500E+01    0.4708616569E-06   0.1052922872E-06   0.8063707394E-09   0.3184939855E-12   0.5103612103E-15
  0.6914062500E+01    0.7707052793E-07   0.5657054479E-07   0.4943950772E-09   0.1260886575E-12   0.2763936239E-15
  0.7420312500E+01    0.1114038657E-06   0.5698422210E-07   0.6687715710E-09   0.2272789874E-12   0.2501811747E-15
  0.7926562500E+01    0.1504165819E-06   0.3154285041E-07   0.3578310587E-09   0.7306777587E-13   0.9900367512E-16
  0.8685937500E+01    0.2246691201E-06   0.4405710087E-07   0.7851074921E-09   0.8618416654E-12   0.7964359333E-15
  0.9192187500E+01    0.5108426051E-07   0.6089130149E-08   0.6505767718E-10   0.1653822040E-13   0.6089349752E-16
  0.9698437500E+01    0.3213151319E-07   0.4116797328E-08   0.4538454632E-10   0.8162391495E-14   0.2552329736E-16
  0.1020468750E+02    0.3814715271E-07   0.3375505955E-08   0.4154810236E-10   0.6969742971E-14   0.8187791165E-16
  0.1071093750E+02    0.3010472140E-07   0.3666798634E-08   0.5319377165E-10   0.1095045290E-13   0.3094059027E-16
  0.1121718750E+02    0.6891155326E-07   0.3732004790E-08   0.3667751866E-10   0.7240472804E-14   0.2472110558E-16
  0.1172343750E+02    0.3497167069E-07   0.3940904972E-08   0.2968676381E-10   0.3221369815E-14   0.2280366264E-16
  0.1222968750E+02    0.5035766639E-07   0.2988493649E-08   0.1523629466E-10   0.2531362526E-13   0.6210583757E-16
  0.1273593750E+02    0.2507997852E-07   0.2579359593E-08   0.1534688565E-10   0.4231587940E-14   0.6542858529E-16
  0.1324218750E+02    0.1713697878E-07   0.2143883634E-08   0.2242498965E-10   0.3301123979E-14   0.3320501102E-16
