35
          76                2 ! # of edges , # of node for edges
  0.35390783193254871       0.71849116526588208        0.0000000000000000     
  0.49782844978555429       0.70350197634826950        0.0000000000000000     
  0.51816028356908872       0.69967809694899685        0.0000000000000000     
  0.63020833333333326       0.70312500000000000        0.0000000000000000     
  0.65542857109178687       0.70924185941909768        0.0000000000000000     
  0.36445391596627436       0.71862058263294104        0.0000000000000000     
  0.40437187682371017       0.70917225426400698        0.0000000000000000     
  0.63980357109178687       0.69361685941909768        0.0000000000000000     
  0.58513962348163440       0.71375786370033367        0.0000000000000000     
  0.43046088084543632       0.71001117519468071        0.0000000000000000     
  0.61697017340919280       0.69952470028094771        0.0000000000000000     
  0.34349116526588208       0.72890783193254871        0.0000000000000000     
  0.50358256163189030       0.69518359839764943        0.0000000000000000     
  0.38506419834140204       0.71875000000000000        0.0000000000000000     
  0.57030115987495367       0.70949965361391110        0.0000000000000000     
  0.68147023775845350       0.73528352608576431        0.0000000000000000     
  0.67544047551690700       0.72056705217152861        0.0000000000000000     
  0.41782673793482128       0.71438058759734036        0.0000000000000000     
  0.54743235048924377       0.70183113089545801        0.0000000000000000     
  0.53846957157095132       0.69286279120734062        0.0000000000000000     
  0.33157951246858763       0.72044250334402504        0.0000000000000000     
  0.44309502375605148       0.71438058759734036        0.0000000000000000     
  0.38003209917070102       0.70312500000000000        0.0000000000000000     
  0.39512839668280408       0.71875000000000000        0.0000000000000000     
  0.65625000000000000       0.72916666666666663        0.0000000000000000     
  0.52383353811087385       0.69178627423411021        0.0000000000000000     
  0.66584523775845350       0.71965852608576431        0.0000000000000000     
  0.64583333333333326       0.71875000000000000        0.0000000000000000     
  0.59288069363677165       0.70434880112379084        0.0000000000000000     
  0.31614863851917607       0.73626162939461326        0.0000000000000000     
  0.60894034681838582       0.71154940056189542        0.0000000000000000     
  0.63541666666666663       0.71875000000000000        0.0000000000000000     
  0.45706373120113242       0.70970377090505732        0.0000000000000000     
  0.48445510783667955       0.70255185310135870        0.0000000000000000     
  0.56212669547220062       0.69948966629057208        0.0000000000000000     
  1     21  1
  1     12  2
  1     6  3
  2     13  4
  2     3  5
  2     34  6
  3     26  7
  3     13  8
  3     20  9
  3     19  10
  4     11  11
  4     31  12
  4     28  13
  4     32  14
  4     5  15
  4     8  16
  5     25  17
  5     27  18
  5     17  19
  5     28  20
  5     32  21
  5     8  22
  6     12  23
  6     23  24
  6     14  25
  7     18  26
  7     10  27
  7     23  28
  7     24  29
  7     14  30
  8     11  31
  8     28  32
  8     32  33
  9     35  34
  9     15  35
  9     29  36
  9     31  37
  10     22  38
  10     18  39
  10     33  40
  11     29  41
  11     31  42
  11     32  43
  12     30  44
  12     21  45
  13     26  46
  13     34  47
  14     23  48
  14     24  49
  15     35  50
  15     19  51
  15     29  52
  16     25  53
  16     27  54
  16     17  55
  17     25  56
  17     27  57
  18     22  58
  18     24  59
  19     26  60
  19     20  61
  19     35  62
  20     26  63
  20     35  64
  21     30  65
  22     33  66
  23     24  67
  25     27  68
  25     28  69
  25     32  70
  27     28  71
  28     32  72
  29     35  73
  29     31  74
  31     32  75
  33     34  76
