  0.0000000000E+00    0.7667085663E-12
  0.1500000000E+00    0.6654407071E-03   0.1425712273E-06   0.1189038414E-10   0.5056070960E-12
  0.3750000000E+00    0.5898938411E-03   0.2380004142E-06   0.9823634171E-10   0.2260452544E-12
  0.7125000000E+00    0.8122597861E-03   0.4623488080E-06   0.4768748754E-09   0.5107220260E-12   0.1800275770E-12
  0.1218750000E+01    0.1081991550E-02   0.8344735522E-06   0.2563148830E-08   0.5381661531E-12   0.4687893970E-13
  0.1978125000E+01    0.4375904970E-03   0.1417247851E-05   0.1097621024E-07   0.4274189825E-13   0.3916812276E-14
  0.3117187500E+01    0.3466466701E-03   0.2204340112E-05   0.1156632212E-07   0.1347088837E-11   0.1601748981E-12
  0.4825781250E+01    0.4109731728E-03   0.7071938480E-06   0.1081265774E-06   0.2263222782E-09   0.8287758495E-13   0.2868960323E-13
  0.7388671875E+01    0.4857896261E-04   0.8757703246E-06   0.1820230652E-06   0.7239201460E-08   0.1016652962E-10   0.6054333170E-13
  0.8527734375E+01    0.4230671429E-05   0.2941057520E-06   0.8229036300E-08   0.1629186644E-09   0.6660274809E-13   0.1481015701E-13
  0.9287109375E+01    0.4190532180E-06   0.9442602212E-07   0.1161058723E-08   0.4423557971E-11   0.2543932472E-13
  0.9793359375E+01    0.1453613301E-06   0.1738760471E-07   0.3512245964E-09   0.7114181416E-12   0.2295362849E-13
  0.1029960937E+02    0.5901744753E-07   0.5154255624E-07   0.4605137923E-09   0.1000549508E-11   0.2674588274E-13
  0.1080585937E+02    0.1225486346E-06   0.7677052385E-07   0.1952048388E-08   0.4745959203E-12   0.4020525539E-13
  0.1114335937E+02    0.6709795960E-07   0.2522478360E-07   0.8202344838E-10   0.4009968883E-12   0.3317007821E-13
  0.1148085937E+02    0.1315050131E-06   0.2075336848E-07   0.7003147056E-10   0.4848858575E-14   0.5950899072E-15
  0.1181835938E+02    0.1189320819E-06   0.1195954439E-07   0.3763100563E-09   0.3662554560E-12   0.2238459556E-13
  0.1215585938E+02    0.7326095854E-07   0.5239762107E-08   0.1284357395E-09   0.5594119677E-13   0.3914947864E-14
  0.1249335938E+02    0.3750212053E-07   0.4824980479E-08   0.5993785125E-10   0.6838391182E-13   0.7085829810E-14
  0.1283085938E+02    0.2558307902E-07   0.2746246293E-07   0.1477824153E-09   0.1133513556E-11   0.1175855429E-13   0.2147001559E-14
  0.1305585938E+02    0.1780088006E-07   0.1168852898E-07   0.5650039328E-10   0.1507696751E-13   0.9852656266E-15
  0.1328085938E+02    0.1721291235E-06   0.4759023558E-08   0.7401869040E-10   0.3274196139E-13   0.4312042529E-14
  0.1350585938E+02    0.1266699248E-06   0.3779645783E-07   0.5220376243E-09   0.1766264839E-12   0.2835400438E-13
  0.1373085937E+02    0.9822513851E-07   0.8009962459E-08   0.1903488797E-08   0.1670454922E-11   0.8326440991E-13
  0.1395585937E+02    0.8384418163E-07   0.6586674014E-07   0.2619827772E-08   0.7087554453E-11   0.2577340336E-13
  0.1418085937E+02    0.4043907370E-07   0.5119026689E-07   0.6982498181E-09   0.4582807409E-12   0.9733748517E-14
  0.1433085937E+02    0.1236665874E-06   0.1152581964E-07   0.6178979362E-11   0.1068230256E-13   0.1049103974E-14
  0.1448085937E+02    0.6574531530E-07   0.8583190489E-08   0.5041510017E-10   0.1082346090E-13   0.9561148468E-15
  0.1458085937E+02    0.2739210206E-07   0.2958353321E-08   0.6179155791E-11   0.5085210118E-14   0.5502650922E-15
  0.1468085937E+02    0.3112193634E-07   0.2232362058E-08   0.1064844135E-09   0.1887181720E-13   0.5711745070E-14
  0.1478085937E+02    0.3439387338E-07   0.2903775578E-07   0.8416419804E-09   0.1061597211E-10   0.4252042445E-14   0.2117449339E-15
  0.1488085937E+02    0.4171572342E-07   0.2551082055E-07   0.2925504984E-08   0.1090873415E-10   0.1748864752E-14   0.1068137982E-15
  0.1498085937E+02    0.4630311621E-07   0.4963407190E-08   0.2818735983E-09   0.1811878388E-12   0.1069977658E-13
  0.1508085937E+02    0.4328747566E-07   0.1921747591E-07   0.7778752677E-10   0.6251203813E-13   0.3469880589E-14
  0.1518085937E+02    0.2956168606E-07   0.1474609648E-08   0.2033461028E-09   0.4516424228E-12   0.2587748169E-13
  0.1528085937E+02    0.2562070560E-07   0.1797771330E-07   0.2116014813E-09   0.3227563115E-13   0.5997589498E-14
  0.1538085937E+02    0.2615624602E-07   0.1435467477E-07   0.2983030819E-09   0.8769417177E-13   0.3929958363E-14
  0.1548085937E+02    0.2562013271E-07   0.6530673938E-08   0.5156539845E-10   0.4888835586E-14   0.2719089118E-15
  0.1554752604E+02    0.1885058736E-07   0.3825114673E-09   0.1221219196E-10   0.2061455630E-13   0.8581346880E-15
  0.1561419271E+02    0.1739435332E-07   0.6202848748E-09   0.1411951539E-11   0.6336647071E-14   0.2158854136E-15
  0.1568085937E+02    0.1337376946E-07   0.9484272437E-08   0.2735246850E-09   0.9320585280E-13   0.2400472482E-13
  0.1574752604E+02    0.1150336908E-07   0.8071127454E-08   0.7697038062E-10   0.2920155695E-12   0.1144687352E-13
  0.1584752604E+02    0.1831493174E-07   0.1679021491E-07   0.4148355896E-09   0.7584339724E-13   0.3345424168E-13
  0.1594752604E+02    0.1335312700E-07   0.1158426451E-07   0.3883165319E-10   0.6309728037E-13   0.2257027980E-14
  0.1609752604E+02    0.1701392605E-07   0.2477313755E-07   0.1135146690E-09   0.3067638526E-12   0.8447255936E-14
  0.1624752604E+02    0.1133510060E-06   0.1154768770E-07   0.1765095340E-09   0.1477894870E-12   0.1874235771E-13
  0.1634752604E+02    0.9373794496E-07   0.2341470556E-09   0.6788615542E-11   0.7078163523E-14   0.1766898462E-14
  0.1644752604E+02    0.4252969187E-07   0.2766861206E-09   0.1363717183E-11   0.1865243375E-14   0.9425344163E-16
  0.1651419271E+02    0.3726556510E-07   0.1172105591E-09   0.8388817094E-13   0.5928870305E-13
  0.1658085937E+02    0.3037844929E-08   0.1861239158E-09   0.5199098741E-12   0.7242231193E-14
  0.1664752604E+02    0.3075704054E-08   0.5597244146E-09   0.8215178998E-11   0.8796391583E-14   0.3005366095E-15
  0.1671419271E+02    0.3315004486E-08   0.7778886240E-09   0.1936564162E-10   0.2189699397E-13   0.1111525177E-14
  0.1678085937E+02    0.2991915837E-08   0.6526328507E-09   0.9323371200E-10   0.5502029917E-14   0.1468042819E-15
  0.1688085937E+02    0.4298042662E-08   0.8268861846E-09   0.6244034331E-10   0.6012637356E-13   0.1042518441E-13
  0.1703085937E+02    0.6279098753E-08   0.1731307765E-08   0.2685237580E-09   0.2075730441E-12   0.1813110498E-13
  0.1718085937E+02    0.1110302118E-07   0.2122111038E-08   0.1130154742E-10   0.5570912759E-14   0.4939654263E-15
  0.1733085937E+02    0.5855561472E-07   0.1092739913E-08   0.2491275769E-10   0.1011583082E-13   0.8223482048E-15
  0.1748085937E+02    0.3342756762E-07   0.2787830223E-08   0.2362522900E-10   0.4132976166E-13   0.4670776592E-14
  0.1763085937E+02    0.3093360276E-07   0.1720838594E-08   0.1034858321E-10   0.2053168198E-13   0.1453517616E-14
  0.1778085937E+02    0.2397583472E-07   0.5560070011E-08   0.2072319208E-09   0.3529415501E-12   0.4657966185E-13
  0.1793085937E+02    0.3414740912E-07   0.4613688744E-08   0.8362171124E-10   0.1465380476E-12   0.1697907357E-13
  0.1808085937E+02    0.2789728838E-07   0.2620513165E-08   0.1312480617E-10   0.1287452263E-13   0.1341046792E-14
  0.1830585937E+02    0.1807282442E-07   0.1768513967E-08   0.6032513867E-10   0.2938412023E-13   0.1703993521E-14
  0.1853085937E+02    0.4483306696E-08   0.8006202012E-09   0.1955425464E-10   0.5294206699E-14   0.3647054088E-15
  0.1875585937E+02    0.7097403244E-08   0.1410774445E-08   0.1631129741E-10   0.3439122022E-14   0.5090762098E-15
  0.1898085937E+02    0.1447448017E-07   0.2825113056E-08   0.1215017632E-10   0.1575406092E-13   0.1216595660E-14
  0.1920585937E+02    0.1360447565E-07   0.2258866368E-08   0.3345273866E-10   0.5842759059E-13   0.8495834311E-14
  0.1943085937E+02    0.8822009446E-08   0.4287454933E-09   0.3254524286E-10   0.1213309131E-13   0.1017010049E-14
  0.1976835937E+02    0.3777909594E-07   0.2201131515E-08   0.3181523209E-10   0.1818338436E-13   0.1179876812E-14
  0.2010585937E+02    0.1469354184E-07   0.8049356102E-09   0.5241434230E-11   0.1266858811E-14   0.9978704911E-16
  0.2033085937E+02    0.9546721484E-08   0.3695305658E-09   0.6993449923E-13   0.1316277687E-13
  0.2055585937E+02    0.6578541916E-08   0.3409542262E-09   0.1252015751E-12   0.1937518697E-14   0.2985396367E-15
  0.2070585937E+02    0.4617679659E-08   0.1201177677E-09   0.1514423846E-13   0.1433990800E-13
  0.2085585937E+02    0.3088165430E-08   0.8783782915E-10   0.6879002192E-13   0.6808427404E-13
  0.2100585937E+02    0.5043584851E-08   0.6283638826E-09   0.1453374822E-11   0.5750944147E-14   0.6835695286E-15
  0.2115585937E+02    0.1841913973E-08   0.3057916087E-09   0.1485591931E-10   0.5820281462E-13   0.2941322928E-13
  0.2130585937E+02    0.1439634865E-08   0.2310477554E-08   0.3607596864E-10   0.1985720336E-13   0.8543740540E-15
  0.2153085937E+02    0.1193966440E-08   0.1634411783E-08   0.7521184040E-10   0.2304884033E-12   0.2584114149E-13
  0.2175585937E+02    0.2271614086E-08   0.5557440871E-09   0.1022462337E-10   0.4665094834E-14   0.7781643152E-15
  0.2209335937E+02    0.2899069323E-08   0.6462561323E-09   0.5224352448E-11   0.1820006208E-14   0.1303018394E-15
  0.2259960937E+02    0.2959564698E-07   0.1839324194E-08   0.6165631351E-10   0.1548497583E-13   0.5082846935E-15
  0.2335898437E+02    0.5697870932E-07   0.7494644778E-08   0.3833727459E-11   0.6809312147E-14   0.5434929102E-16
